firm_name,manager_name,designation,email,location,source_url
RBSA Investment Manager LLP,Rushabh Shah,CIO,rushabh.shah@rbsainvest.in,Ahmedabad,https://rbsainvest.in/leadership-team/rushabh-g-shah/
SIRIUS ADVISORS PRIVATE LIMITED,Anubhav Goel,Fund Manager,,Mumbai,https://siriusadvisors.in/our-team/
Shree Rama Managers LLP,Abhishek Basumallick,Fund Manager,,Kolkata,https://shreerama.co.in/team.php
Shree Rama Managers LLP,Mohit Beriwala,Fund Manager,,Kolkata,https://shreerama.co.in/team.php
Sowilo Investment Managers LLP,Chartered Accountant,Head of Research,,Mumbai,https://sowilo.co.in/team/
Sowilo Investment Managers LLP,Padmavati Udecha C,Head of Research,,Mumbai,https://sowilo.co.in/team/
Sowilo Investment Managers LLP,Sandip Agarwal C,Fund Manager,,Mumbai,https://sowilo.co.in/team/
TRIVANTAGE CAPITAL MANAGMENT INDIA PRIVATE LIMITED,Nikhil Johri,Chief Investment Officer,,Ahmedabad,https://www.trivantagecapital.com/about/our-team
Trilithon Partners LLP,Computer Science Engineer,fund manager,investor.relations@trilithon.in,Hyderabad,https://www.trilithon.in/team
VALENTIS ADVISORS PRIVATE LIMITED,America Merrill Lynch,Head of Research,complaints@valentisadvisors.com,Ahmedabad,https://www.valentisadvisors.com/our-team/
VALENTIS ADVISORS PRIVATE LIMITED,Daljeet Singh Kohli,Fund Manager,complaints@valentisadvisors.com,Ahmedabad,https://www.valentisadvisors.com/our-team/
VALENTIS ADVISORS PRIVATE LIMITED,Nivesh Securities Ltd,Head of Research,complaints@valentisadvisors.com,Ahmedabad,https://www.valentisadvisors.com/our-team/
VALENTIS ADVISORS PRIVATE LIMITED,P Merrill Lynch,Head of Research,complaints@valentisadvisors.com,Ahmedabad,https://www.valentisadvisors.com/our-team/
ithought Financial consulting LLP,Rajat Setiya,Co-Fund Manager,hr@ithought.co.in,Chennai,https://ithought.co.in/team/
ithought Financial consulting LLP,Should You Exit When,Fund Manager,hr@ithought.co.in,Chennai,https://ithought.co.in/should-you-exit-when-your-fund-manager-leaves/
ithought Financial consulting LLP,Shyam Sekhar,CIO,hr@ithought.co.in,Chennai,https://ithought.co.in/team/
